"Instruction","","Lat","TP","Uops","Ports"
"ADD (M32, I8)","BASE","[≤1;8]","0.50","1",""
"ADD (M32, R32)","BASE","[≤1;8]","0.50","1",""
"ADD (M64, 0)","BASE","[≤1;8]","0.50","1",""
"ADD (M64, I32)","BASE","[≤1;8]","0.50","1",""
"ADD (M64, I8)","BASE","[≤1;8]","0.50","1",""
"ADD (M64, R64)","BASE","[≤1;8]","0.50","1",""
"ADD (M8, 0)","BASE","[≤1;8]","0.52","1",""
"ADD (M8, I8)","BASE","[≤1;8]","0.52","1",""
"ADD (M8, R8h)","BASE","[≤1;8]","0.52","1",""
"ADD (M8, R8l)","BASE","[≤1;8]","0.54","1",""
"ADD (R16, 0)","BASE","1","0.20","1",""
"ADD (R16, I16)","BASE","1","0.20","1",""
"ADD (R16, I8)","BASE","1","0.20","1",""
"ADD (R16, M16)","BASE","[≤1;5]","0.25","1",""
"ADD (R32, 0)","BASE","1","0.20","1",""
"ADD (R32, I32)","BASE","1","0.20","1",""
"ADD (R32, I8)","BASE","1","0.20","1",""
"ADD (R32, M32)","BASE","[≤1;5]","0.25","1",""
"ADD (R64, 0)","BASE","1","0.20","1",""
"ADD (R64, I32)","BASE","1","0.20","1",""
"ADD (R64, I8)","BASE","1","0.20","1",""
"ADD (R64, M64)","BASE","[≤1;5]","0.25","1",""
"ADD (R8h, 0)","BASE","1","0.25","1",""
"ADD (R8h, I8)","BASE","1","0.25","1",""
"ADD (R8h, M8)","BASE","[≤1;5]","0.27","1",""
"ADD (R8l, M8)","BASE","[≤1;5]","0.25","1",""
"ADD (RAX, I32)","BASE","1","0.27","1",""
"ADD_00 (R8h, R8h)","BASE","1","0.33","1",""
"ADD_00 (R8h, R8l)","BASE","1","0.33","1",""
"ADD_00 (R8l, R8h)","BASE","1","0.33","1",""
"ADD_00 (R8l, R8l)","BASE","1","0.20","1",""
"ADD_01 (R16, R16)","BASE","1","0.20","1",""
"ADD_01 (R32, R32)","BASE","1","0.20","1",""
"ADD_01 (R64, R64)","BASE","1","0.20","1",""
"ADD_02 (R8h, R8h)","BASE","1","0.33","1",""
"ADD_02 (R8h, R8l)","BASE","1","0.33","1",""
"ADD_02 (R8l, R8h)","BASE","1","0.33","1",""
"ADD_02 (R8l, R8l)","BASE","1","0.20","1",""
"ADD_03 (R16, R16)","BASE","1","0.20","1",""
"ADD_03 (R32, R32)","BASE","1","0.20","1",""
"ADD_03 (R64, R64)","BASE","1","0.20","1",""
"ADD_LOCK (M16, 0)","BASE","[≤7;18]","19.77","1",""
"ADD_LOCK (M16, I16)","BASE","[≤7;18]","19.77","1",""
"ADD_LOCK (M16, I8)","BASE","[≤7;18]","19.77","1",""
"ADD_LOCK (M16, R16)","BASE","[1;17]","19.78","1",""
"ADD_LOCK (M32, 0)","BASE","[≤8;18]","19.78","1",""
"ADD_LOCK (M32, I32)","BASE","[≤8;18]","19.78","1",""
"ADD_LOCK (M32, I8)","BASE","[≤8;18]","19.78","1",""
"ADD_LOCK (M32, R32)","BASE","[1;17]","19.78","1",""
"ADD_LOCK (M64, 0)","BASE","[≤8;18]","19.78","1",""
"ADD_LOCK (M64, I32)","BASE","[≤8;17]","19.78","1",""
"ADD_LOCK (M64, I8)","BASE","[≤8;18]","19.78","1",""
"ADD_LOCK (M64, R64)","BASE","[1;17]","19.78","1",""
"ADD_LOCK (M8, 0)","BASE","[≤7;18]","19.78","1",""
"ADD_LOCK (M8, I8)","BASE","[≤7;18]","19.78","1",""
"ADD_LOCK (M8, R8h)","BASE","[1;18]","19.78","1",""
"ADD_LOCK (M8, R8l)","BASE","[1;18]","19.78","1",""
"ADD_R0 (R8l, 0)","BASE","1","0.20","1",""
"ADD_R0 (R8l, I8)","BASE","1","0.20","1",""
"ADD_R4 (R8l, 0)","BASE","1","0.20","1",""
"ADD_R4 (R8l, I8)","BASE","1","0.20","1",""
"AND (AL, 0)","BASE","1","0.28","1",""
"AND (AL, I8)","BASE","1","0.28","1",""
"AND (AX, I16)","BASE","1","0.33","1",""
"AND (EAX, I32)","BASE","1","0.29","1",""
"AND (M16, 0)","BASE","[≤1;8]","0.52","1",""
"AND (M16, I16)","BASE","[≤1;8]","0.52","1",""
"AND (M16, I8)","BASE","[≤1;8]","0.52","1",""
"AND (M16, R16)","BASE","[≤1;8]","0.52","1",""
"AND (M32, 0)","BASE","[≤1;8]","0.50","1",""
"AND (M32, I32)","BASE","[≤1;8]","0.50","1",""
"AND (M32, I8)","BASE","[≤1;8]","0.50","1",""
"AND (M32, R32)","BASE","[≤1;8]","0.50","1",""
"AND (M64, 0)","BASE","[≤1;8]","0.50","1",""
"AND (M64, I32)","BASE","[≤1;8]","0.50","1",""
"AND (M64, I8)","BASE","[≤1;8]","0.50","1",""
"AND (M64, R64)","BASE","[≤1;8]","0.50","1",""
"AND (M8, 0)","BASE","[≤1;8]","0.52","1",""
"AND (M8, I8)","BASE","[≤1;8]","0.52","1",""
"AND (M8, R8h)","BASE","[≤1;8]","0.52","1",""
"AND (M8, R8l)","BASE","[≤1;8]","0.54","1",""
"AND (R16, 0)","BASE","1","0.20","1",""
"AND (R16, I16)","BASE","1","0.20","1",""
"AND (R16, I8)","BASE","1","0.20","1",""
"AND (R16, M16)","BASE","[≤1;5]","0.25","1",""
"AND (R32, 0)","BASE","1","0.20","1",""
"AND (R32, I32)","BASE","1","0.20","1",""
"AND (R32, I8)","BASE","1","0.20","1",""
"AND (R32, M32)","BASE","[≤1;5]","0.25","1",""
"AND (R64, 0)","BASE","1","0.20","1",""
"AND (R64, I32)","BASE","1","0.20","1",""
"AND (R64, I8)","BASE","1","0.20","1",""
"AND (R64, M64)","BASE","[≤1;5]","0.25","1",""
"AND (R8h, 0)","BASE","1","0.25","1",""
"AND (R8h, I8)","BASE","1","0.25","1",""
"AND (R8h, M8)","BASE","[≤1;5]","0.27","1",""
"AND (R8l, M8)","BASE","[≤1;5]","0.25","1",""
"AND (RAX, I32)","BASE","1","0.27","1",""
"AND_20 (R8h, R8h)","BASE","1","0.33","1",""
"AND_20 (R8h, R8l)","BASE","1","0.33","1",""
"AND_20 (R8l, R8h)","BASE","1","0.33","1",""
"AND_20 (R8l, R8l)","BASE","1","0.20","1",""
"AND_21 (R16, R16)","BASE","1","0.20","1",""
"AND_21 (R32, R32)","BASE","1","0.20","1",""
"AND_21 (R64, R64)","BASE","1","0.20","1",""
"AND_22 (R8h, R8h)","BASE","1","0.33","1",""
"AND_22 (R8h, R8l)","BASE","1","0.33","1",""
"AND_22 (R8l, R8h)","BASE","1","0.33","1",""
"AND_22 (R8l, R8l)","BASE","1","0.20","1",""
"AND_23 (R16, R16)","BASE","1","0.20","1",""
"AND_23 (R32, R32)","BASE","1","0.20","1",""
"AND_23 (R64, R64)","BASE","1","0.20","1",""
"AND_LOCK (M16, 0)","BASE","[≤7;18]","19.77","1",""
"AND_LOCK (M16, I16)","BASE","[≤7;18]","19.77","1",""
"AND_LOCK (M16, I8)","BASE","[≤7;17]","19.77","1",""
"AND_LOCK (M16, R16)","BASE","[1;17]","19.77","1",""
"AND_LOCK (M32, 0)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M32, I32)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M32, I8)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M32, R32)","BASE","[1;17]","19.78","1",""
"AND_LOCK (M64, 0)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M64, I32)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M64, I8)","BASE","[≤8;18]","19.78","1",""
"AND_LOCK (M64, R64)","BASE","[1;17]","19.78","1",""
"AND_LOCK (M8, 0)","BASE","[≤7;18]","19.78","1",""
"AND_LOCK (M8, I8)","BASE","[≤7;18]","19.77","1",""
"AND_LOCK (M8, R8h)","BASE","[1;17]","19.78","1",""
"AND_LOCK (M8, R8l)","BASE","[1;18]","19.78","1",""
"AND_R0 (R8l, 0)","BASE","1","0.20","1",""
"AND_R0 (R8l, I8)","BASE","1","0.20","1",""
"AND_R4 (R8l, 0)","BASE","1","0.20","1",""
"AND_R4 (R8l, I8)","BASE","1","0.20","1",""
"BSF (R16, M16)","BASE","[≤1;5]","0.33","1",""
"BSF (R16, R16)","BASE","1","0.33","1",""
"BSF (R32, M32)","BASE","[≤1;5]","0.33","1",""
"BSF (R32, R32)","BASE","1","0.33","1",""
"BSF (R64, M64)","BASE","[≤1;5]","0.33","1",""
"BSF (R64, R64)","BASE","1","0.33","1",""
"BSR (R16, M16)","BASE","[≤1;5]","0.33","1",""
"BSR (R16, R16)","BASE","1","0.33","1",""
"BSR (R32, M32)","BASE","[≤1;5]","0.33","1",""
"BSR (R32, R32)","BASE","1","0.33","1",""
"BSR (R64, M64)","BASE","[≤1;5]","0.33","1",""
"BSR (R64, R64)","BASE","1","0.33","1",""
"BSWAP (R32)","BASE","1","0.20","1",""
"BSWAP (R64)","BASE","1","0.20","1",""
"BT (M16, 0)","BASE","[≤1;5]","0.33","1",""
"BT (M16, I8)","BASE","[≤1;5]","0.33","1",""
"BT (M16, R16)","BASE","[6;8]","3.00","6",""
"BT (M32, 0)","BASE","[≤1;5]","0.33","1",""
"BT (M32, I8)","BASE","[≤1;5]","0.33","1",""
"BT (M32, R32)","BASE","[6;8]","3.00","6",""
"BT (M64, 0)","BASE","[≤1;5]","0.33","1",""
"BT (M64, I8)","BASE","[≤1;5]","0.33","1",""
"BT (M64, R64)","BASE","[6;8]","3.00","6",""
"BT (R16, 0)","BASE","1","0.33","1",""
"BT (R16, I8)","BASE","1","0.33","1",""
"BT (R16, R16)","BASE","1","0.33","1",""
"BT (R32, 0)","BASE","1","0.33","1",""
"BT (R32, I8)","BASE","1","0.33","1",""
"BT (R32, R32)","BASE","1","0.33","1",""
"BT (R64, 0)","BASE","1","0.33","1",""
"BT (R64, I8)","BASE","1","0.33","1",""
"BT (R64, R64)","BASE","1","0.33","1",""
"BTC (M16, 0)","BASE","[≤7;≤17]","2.00","4",""
"BTC (M16, I8)","BASE","[≤7;≤17]","2.00","4",""
"BTC (M16, R16)","BASE","[≤7;≤51]","3.00","9",""
"BTC (M32, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTC (M32, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTC (M32, R32)","BASE","[7;≤51]","3.00","9",""
"BTC (M64, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTC (M64, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTC (M64, R64)","BASE","[7;≤51]","3.00","9",""
"BTC (R16, 0)","BASE","[1;2]","0.73","2",""
"BTC (R16, I8)","BASE","[1;2]","0.73","2",""
"BTC (R16, R16)","BASE","[1;2]","0.73","2",""
"BTC (R32, 0)","BASE","[1;2]","0.73","2",""
"BTC (R32, I8)","BASE","[1;2]","0.73","2",""
"BTC (R32, R32)","BASE","[1;2]","0.73","2",""
"BTC (R64, 0)","BASE","[1;2]","0.73","2",""
"BTC (R64, I8)","BASE","[1;2]","0.73","2",""
"BTC (R64, R64)","BASE","[1;2]","0.73","2",""
"BTC_LOCK (M16, 0)","BASE","[≤7;18]","19.78","4",""
"BTC_LOCK (M16, I8)","BASE","[≤7;18]","19.78","4",""
"BTC_LOCK (M16, R16)","BASE","[≤7;≤68]","19.50","9",""
"BTC_LOCK (M32, 0)","BASE","[≤8;18]","19.78","4",""
"BTC_LOCK (M32, I8)","BASE","[≤8;18]","19.78","4",""
"BTC_LOCK (M32, R32)","BASE","[≤8;≤65]","19.50","9",""
"BTC_LOCK (M64, 0)","BASE","[≤8;18]","19.78","4",""
"BTC_LOCK (M64, I8)","BASE","[≤8;18]","19.78","4",""
"BTC_LOCK (M64, R64)","BASE","[≤8;≤65]","19.50","9",""
"BTR (M16, 0)","BASE","[≤7;≤17]","2.00","4",""
"BTR (M16, I8)","BASE","[≤7;≤17]","2.00","4",""
"BTR (M16, R16)","BASE","[≤7;≤51]","3.00","9",""
"BTR (M32, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTR (M32, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTR (M32, R32)","BASE","[7;≤51]","3.00","9",""
"BTR (M64, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTR (M64, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTR (M64, R64)","BASE","[7;≤51]","3.00","9",""
"BTR (R16, 0)","BASE","[1;2]","0.73","2",""
"BTR (R16, I8)","BASE","[1;2]","0.75","2",""
"BTR (R16, R16)","BASE","[1;2]","0.73","2",""
"BTR (R32, 0)","BASE","[1;2]","0.73","2",""
"BTR (R32, I8)","BASE","[1;2]","0.75","2",""
"BTR (R32, R32)","BASE","[1;2]","0.73","2",""
"BTR (R64, 0)","BASE","[1;2]","0.73","2",""
"BTR (R64, I8)","BASE","[1;2]","0.73","2",""
"BTR (R64, R64)","BASE","[1;2]","0.75","2",""
"BTR_LOCK (M16, 0)","BASE","[≤7;18]","19.78","4",""
"BTR_LOCK (M16, I8)","BASE","[≤7;18]","19.78","4",""
"BTR_LOCK (M16, R16)","BASE","[≤7;≤67]","19.50","9",""
"BTR_LOCK (M32, 0)","BASE","[≤8;18]","19.78","4",""
"BTR_LOCK (M32, I8)","BASE","[≤8;18]","19.78","4",""
"BTR_LOCK (M32, R32)","BASE","[≤8;≤65]","19.50","9",""
"BTR_LOCK (M64, 0)","BASE","[≤8;18]","19.78","4",""
"BTR_LOCK (M64, I8)","BASE","[≤8;18]","19.78","4",""
"BTR_LOCK (M64, R64)","BASE","[≤8;≤65]","19.50","9",""
"BTS (M16, 0)","BASE","[≤7;≤17]","2.00","4",""
"BTS (M16, I8)","BASE","[≤7;≤17]","2.00","4",""
"BTS (M16, R16)","BASE","[≤7;≤51]","3.00","9",""
"BTS (M32, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTS (M32, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTS (M32, R32)","BASE","[7;≤51]","3.00","9",""
"BTS (M64, 0)","BASE","[≤8;≤17]","2.00","4",""
"BTS (M64, I8)","BASE","[≤8;≤17]","2.00","4",""
"BTS (M64, R64)","BASE","[7;≤51]","3.00","9",""
"BTS (R16, 0)","BASE","[1;2]","0.75","2",""
"BTS (R16, I8)","BASE","[1;2]","0.75","2",""
"BTS (R16, R16)","BASE","[1;2]","0.75","2",""
"BTS (R32, 0)","BASE","[1;2]","0.73","2",""
"BTS (R32, I8)","BASE","[1;2]","0.75","2",""
"BTS (R32, R32)","BASE","[1;2]","0.73","2",""
"BTS (R64, 0)","BASE","[1;2]","0.73","2",""
"BTS (R64, I8)","BASE","[1;2]","0.73","2",""
"BTS (R64, R64)","BASE","[1;2]","0.75","2",""
"BTS_LOCK (M16, 0)","BASE","[≤7;18]","19.78","4",""
"BTS_LOCK (M16, I8)","BASE","[≤7;18]","19.78","4",""
"BTS_LOCK (M16, R16)","BASE","[≤7;≤67]","19.50","9",""
"BTS_LOCK (M32, 0)","BASE","[≤8;18]","19.80","4",""
"BTS_LOCK (M32, I8)","BASE","[≤8;18]","19.78","4",""
"BTS_LOCK (M32, R32)","BASE","[≤8;≤65]","19.50","9",""
"BTS_LOCK (M64, 0)","BASE","[≤8;18]","19.78","4",""
"BTS_LOCK (M64, I8)","BASE","[≤8;18]","19.78","4",""
"BTS_LOCK (M64, R64)","BASE","[≤8;≤65]","19.50","9",""
"CALL_FAR (M32)","BASE","","","",""
"CALL_FAR (M48)","BASE","","","",""
"CALL_FAR (M80)","BASE","","","",""
"CALL_NEAR (M64)","BASE","","44.00","6",""
"CALL_NEAR (R64)","BASE","","18.00","2",""
"CALL_NEAR (Rel32)","BASE","","1.00","2",""
"CBW","BASE","1","0.28","1",""
"CDQ","BASE","1","0.33","1",""
"CLC","BASE","","0.14","1",""
"CLD","BASE","","3.00","1",""
"CLI","BASE","","8.00","7",""
"CLTS","BASE","","4.00","10",""
"CMC","BASE","1","0.53","1",""
"CMOVB (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVB (R16, R16)","BASE","1","0.20","1",""
"CMOVB (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVB (R32, R32)","BASE","1","0.20","1",""
"CMOVB (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVB (R64, R64)","BASE","1","0.20","1",""
"CMOVBE (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVBE (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVBE (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVBE (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVBE (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVBE (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVL (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVL (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVL (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVL (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVL (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVL (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVLE (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVLE (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVLE (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVLE (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVLE (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVLE (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVNB (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVNB (R16, R16)","BASE","1","0.20","1",""
"CMOVNB (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVNB (R32, R32)","BASE","1","0.20","1",""
"CMOVNB (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVNB (R64, R64)","BASE","1","0.20","1",""
"CMOVNBE (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVNBE (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVNBE (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVNBE (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVNBE (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVNBE (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVNL (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVNL (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVNL (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVNL (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVNL (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVNL (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVNLE (R16, M16)","BASE","[≤1;5]","0.37","2",""
"CMOVNLE (R16, R16)","BASE","[1;2]","0.38","2",""
"CMOVNLE (R32, M32)","BASE","[≤1;5]","0.37","2",""
"CMOVNLE (R32, R32)","BASE","[1;2]","0.38","2",""
"CMOVNLE (R64, M64)","BASE","[≤1;5]","0.37","2",""
"CMOVNLE (R64, R64)","BASE","[1;2]","0.38","2",""
"CMOVNO (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVNO (R16, R16)","BASE","1","0.20","1",""
"CMOVNO (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVNO (R32, R32)","BASE","1","0.20","1",""
"CMOVNO (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVNO (R64, R64)","BASE","1","0.20","1",""
"CMOVNP (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVNP (R16, R16)","BASE","1","0.20","1",""
"CMOVNP (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVNP (R32, R32)","BASE","1","0.20","1",""
"CMOVNP (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVNP (R64, R64)","BASE","1","0.20","1",""
"CMOVNS (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVNS (R16, R16)","BASE","1","0.20","1",""
"CMOVNS (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVNS (R32, R32)","BASE","1","0.20","1",""
"CMOVNS (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVNS (R64, R64)","BASE","1","0.20","1",""
"CMOVNZ (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVNZ (R16, R16)","BASE","1","0.20","1",""
"CMOVNZ (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVNZ (R32, R32)","BASE","1","0.20","1",""
"CMOVNZ (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVNZ (R64, R64)","BASE","1","0.20","1",""
"CMOVO (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVO (R16, R16)","BASE","1","0.20","1",""
"CMOVO (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVO (R32, R32)","BASE","1","0.20","1",""
"CMOVO (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVO (R64, R64)","BASE","1","0.20","1",""
"CMOVP (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVP (R16, R16)","BASE","1","0.20","1",""
"CMOVP (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVP (R32, R32)","BASE","1","0.20","1",""
"CMOVP (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVP (R64, R64)","BASE","1","0.20","1",""
"CMOVS (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVS (R16, R16)","BASE","1","0.20","1",""
"CMOVS (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVS (R32, R32)","BASE","1","0.20","1",""
"CMOVS (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVS (R64, R64)","BASE","1","0.20","1",""
"CMOVZ (R16, M16)","BASE","[≤1;5]","0.25","1",""
"CMOVZ (R16, R16)","BASE","1","0.20","1",""
"CMOVZ (R32, M32)","BASE","[≤1;5]","0.25","1",""
"CMOVZ (R32, R32)","BASE","1","0.20","1",""
"CMOVZ (R64, M64)","BASE","[≤1;5]","0.25","1",""
"CMOVZ (R64, R64)","BASE","1","0.20","1",""
"CMP (AL, 0)","BASE","1","0.17","1",""
"CMP (AL, I8)","BASE","1","0.17","1",""
"CMP (AX, I16)","BASE","1","0.17","1",""
"CMP (EAX, I32)","BASE","1","0.17","1",""
"CMP (M16, 0)","BASE","[≤1;5]","0.25","1",""
"CMP (M16, I16)","BASE","[≤1;5]","0.25","1",""
"CMP (M16, I8)","BASE","[≤1;5]","0.25","1",""
"CMP (M16, R16)","BASE","[≤1;5]","0.25","1",""
"CMP (M32, 0)","BASE","[≤1;5]","0.25","1",""
"CMP (M32, I32)","BASE","[≤1;5]","0.25","1",""
